Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Payment Method,Shipping Type,Previous Purchases,Preferred Payment Method,Frequency of Purchases,Customer Segmentation,Seasonal Trends,Delivery Time,Number of Items Purchased
10,57,Male,Handbag,Accessories,31,Missouri,M,Pink,Spring,4.8,PayPal,2-Day Shipping,4,Cash,Quarterly,Loyal,Christmas present,21,6
12,30,Male,Shorts,Clothing,68,Hawaii,S,Olive,Winter,4.9,PayPal,Store Pickup,10,Bank Transfer,Fortnightly,New,Summer preperation,17,7
13,61,Male,Coat,Outerwear,72,Delaware,M,Gold,Winter,4.5,PayPal,Express,37,Venmo,Fortnightly,VIP,Christmas present,6,9
14,65,Male,Dress,Clothing,51,New Hampshire,M,Violet,Spring,4.7,Debit Card,Express,31,PayPal,Weekly,Loyal,Summer preperation,28,3
15,64,Male,Coat,Outerwear,53,New York,L,Teal,Winter,4.7,PayPal,Free Shipping,34,Debit Card,Weekly,VIP,Back to school,23,9
18,53,Male,Dress,Clothing,38,Mississippi,XL,Lavender,Winter,4.7,Debit Card,2-Day Shipping,36,Venmo,Quarterly,New,Pre-fall shopping,23,5
19,52,Male,Sweater,Clothing,48,Montana,S,Black,Summer,4.6,Bank Transfer,Free Shipping,17,Cash,Weekly,New,Summer preperation,26,2
24,31,Male,Pants,Clothing,88,Oklahoma,XL,White,Winter,4.4,Credit Card,Express,40,Credit Card,Weekly,New,Back to school,10,8
28,56,Male,Shorts,Clothing,56,Kentucky,L,Cyan,Summer,5.0,Debit Card,Next Day Air,7,Bank Transfer,Every 3 Months,VIP,Back to school,16,6
29,54,Male,Handbag,Accessories,94,North Carolina,M,Gray,Fall,4.4,Debit Card,Free Shipping,41,PayPal,Every 3 Months,VIP,Christmas present,14,7
31,57,Male,Jewelry,Accessories,31,North Carolina,L,Black,Winter,4.7,Bank Transfer,Standard,16,Credit Card,Monthly,New,Pre-fall shopping,30,9
